year,time
1898.0,158.511617657
1899.0,158.228060807
1900.0,157.944503956
1901.0,157.660947106
1902.0,157.377390256
1903.0,157.093833405
1904.0,156.810276555
1905.0,156.526719704
1906.0,156.243162854
1907.0,155.959606003
1908.0,155.676049153
1909.0,155.392492303
1910.0,155.108935452
1911.0,154.825378602
1912.0,154.541821751
1913.0,154.258264901
1914.0,153.974708051
1915.0,153.6911512
1916.0,153.40759435
1917.0,153.124037499
1918.0,152.840480649
1919.0,152.556923799
1920.0,152.273366948
1921.0,151.989810098
1922.0,151.706253247
1923.0,151.422696397
1924.0,151.139139547
1925.0,150.855582696
1926.0,150.572025846
1927.0,150.288468995
1928.0,150.004912145
1929.0,149.721355294
1930.0,149.437798444
1931.0,149.154241594
1932.0,148.870684743
1933.0,148.587127893
1934.0,148.303571042
1935.0,148.020014192
1936.0,147.736457342
1937.0,147.452900491
1938.0,147.169343641
1939.0,146.88578679
1940.0,146.60222994
1941.0,146.31867309
1942.0,146.035116239
1943.0,145.751559389
1944.0,145.468002538
1945.0,145.184445688
1946.0,144.900888837
1947.0,144.617331987
1948.0,144.333775137
1949.0,144.050218286
1950.0,143.766661436
1951.0,143.483104585
1952.0,143.199547735
1953.0,142.915990885
1954.0,142.632434034
1955.0,142.348877184
1956.0,142.065320333
1957.0,141.781763483
1958.0,141.512
1959.0,141.214649782
1960.0,140.931092932
1961.0,140.647536081
1962.0,140.363979231
1963.0,140.080422381
1964.0,139.79686553
1965.0,139.51330868
1966.0,139.229751829
1967.0,138.946194979
1968.0,138.662638128
1969.0,138.379081278
1970.0,138.095524428
1971.0,137.811967577
1972.0,137.528410727
1973.0,137.244853876
1974.0,136.961297026
1975.0,136.677740176
1976.0,136.394183325
1977.0,136.110626475
1978.0,135.827069624
1979.0,135.543512774
1980.0,135.259955924
1981.0,134.976399073
1982.0,134.692842223
1983.0,134.409285372
1984.0,134.125728522
1985.0,133.842171671
1986.0,133.558614821
1987.0,133.275057971
1988.0,132.99150112
1989.0,132.70794427
1990.0,132.424387419
1991.0,132.140830569
1992.0,131.857273719
1993.0,131.573716868
1994.0,131.290160018
1995.0,131.006603167
1996.0,130.723046317
1997.0,130.439489467
1998.0,130.155932616
1999.0,129.872375766
2000.0,129.588818915
2001.0,129.305262065
2002.0,129.021705215
2003.0,128.738148364
2004.0,128.454591514
2005.0,128.171034663
2006.0,127.887477813
2007.0,127.603920962
2008.0,127.320364112
2009.0,127.036807262
2010.0,126.753250411
2011.0,126.469693561
2012.0,126.18613671
2013.0,125.90257986
2014.0,125.61902301
2015.0,125.335466159
2016.0,125.051909309
2017.0,124.768352458
