year,name,country,time,gender
1897,McDermott John, United States United States (NY),175.1666667,0
1898,MacDonald Ronald, Canada Canada,162,0
1899,Brignolia Lawrence, United States United States (MA),174.6333333,0
1900,Caffery JohnJohn, Canada Canada,159.7333333,0
1901,Caffery John, Canada Canada,149.3833333,0
1902,Mellor Sammy, United States United States (NY),163.2,0
1903,Lorden John, United States United States (MA),161.4833333,0
1904,Spring Michael, United States United States (NY),158.0666667,0
1905,Lorz Frederick, United States United States (NY),158.4166667,0
1906,Ford Tim, United States United States (MA),165.75,0
1907,Longboat Thomas, Canada Canada,144.4,0
1908,Morrissey Thomas, United States United States (NY),145.7166667,0
1909,Renaud Henri, United States United States (NH),173.6,0
1910,Cameron Fred, Canada Canada,148.8666667,0
1911,DeMar Clarence, United States United States (MA),141.65,0
1912,Ryan Michael, United States United States (NY),141.3,0
1913,Carlson Fritz, United States United States (MN),145.2333333,0
1914,Duffy James, Canada Canada,145.2333333,0
1915,Fabre Édouard, Canada Canada,151.6833333,0
1916,Roth Arthur, United States United States (MA),147.2666667,0
1917,Kennedy Billy, United States United States (NY),148.6166667,0
1918,Camp Devens relay team[3], United States United States (MA),149.8833333,0
1919,Linder Carl, United States United States (MA),149.2166667,0
1920,Trivoulides Peter, Greece Greece,149.5166667,0
1921,Zuna Frank, United States United States (NY),138.95,0
1922,DeMar Clarence, United States United States (MA),138.1666667,0
1923,DeMar Clarence, United States United States (MA),143.7833333,0
1924,DeMar Clarence, United States United States (MA),149.6666667,0
1925,Mellor Charles, United States United States (IL),153,0
1926,Miles Johnny, Canada Canada,145.6666667,0
1927,DeMar Clarence, United States United States (MA),160.3666667,0
1928,DeMar Clarence, United States United States (MA),157.1166667,0
1929,Miles Johnny, Canada Canada,153.1333333,0
1930,DeMar Clarence, United States United States (MA),154.8,0
1931,Henigan James, United States United States (MA),166.75,0
1932,DeBruyn Paul, Germany Germany,153.6,0
1933,Pawson Leslie, United States United States (RI),151.0166667,0
1934,Komonen Dave, Canada Canada,152.8833333,0
1935,Kelley John, United States United States (MA),152.1166667,0
1936,Brown Ellison, United States United States (RI),153.6666667,0
1937,Young Walter, Canada Canada,153.3333333,0
1938,Pawson Leslie , United States United States (RI),155.5666667,0
1939,Brown Ellison, United States United States (RI),148.85,0
1940,Côté Gérard, Canada Canada,148.4666667,0
1941,Pawson Leslie, United States United States (RI),150.6333333,0
1942,Smith Joe, United States United States (MA),146.85,0
1943,Côté Gérard, Canada Canada,148.4166667,0
1944,Côté Gérard, Canada Canada,151.8333333,0
1945,Kelley John, United States United States (MA),150.6666667,0
1946,Kyriakides Stylianos, Greece Greece,149.45,0
1947,Suh Yun-bok, South Korea,145.65,0
1948,Côté Gérard, Canada Canada,151.0333333,0
1949,KarlGösta Leandersson, Sweden,151.8333333,0
1950,Ham Kee-Yong, South Korea,152.65,0
1951,Tanaka Shigeki, Japan,147.75,0
1952,Florea Doroteo, Guatemala,151.8833333,0
1953,Yamada Keizo, Japan,138.85,0
1954,Karvonen Veikko, Finland,140.65,0
1955,Hamamura Hideo, Japan,138.3666667,0
1956,Viskari Antti, Finland,134.2333333,0
1957,Kelley John, United States United States (CT),140.0833333,0
1959,Oksanen Eino, Finland,142.7,0
1960,Kotila Paavo, Finland,140.9,0
1961,Oksanen Eino, Finland,143.65,0
1962,Oksanen Eino, Finland,143.8,0
1963,Vandendriessche Aurèle, Belgium,138.9666667,0
1964,Vandendriessche Aurèle, Belgium,139.9833333,0
1965,Shigematsu Morio, Japan,136.55,0
1966,Kimihara Kenji, Japan,137.1833333,0
1967,McKenzie Dave, New Zealand,135.75,0
1968,Burfoot Amby, United States United States (CT),142.2833333,0
1969,Unetani Yoshiaki, Japan,133.8166667,0
1970,Hill Ron, United Kingdom,130.5,0
1971,Mejia Alvaro, Colombia,138.75,0
1972,Suomalainen Olavi, Finland,135.65,0
1973,Anderson Jon, United States United States (OR),136.05,0
1974,Cusack Neil, Ireland,133.65,0
1975,Rodgers Bill, United States United States (MA),129.9166667,0
1976,Fultz Jack, United States United States (VA),140.3166667,0
1977,Drayton Jerome, Canada,134.7666667,0
1978,Rodgers Bill, United States United States (MA),130.2166667,0
1979,Rodgers Bill, United States United States (MA),129.45,0
1980,Rodgers Bill, United States United States (MA),132.1833333,0
1981,Seko Toshihi, Japan,129.4333333,0
1982,Salazar Alberto, United States United States (MA),128.8666667,0
1983,Meyer GregGreg, United States United States (MI),129,0
1984,Smith Geoff, United Kingdom,130.5666667,0
1985,Smith Geoff, United Kingdom,134.0833333,0
1986,obert de Castella, Australia,127.85,0
1987,Seko Toshihiko, Japan,131.8333333,0
1988,Hussein Ibrahim, Kenya,128.7166667,0
1989,Mekonnen Abebe, Ethiopia,129.1,0
1990,Bordin Gelindo, Italy,128.3166667,0
1991,Hussein Ibrahim, Kenya,131.1,0
1992,Hussein Ibrahim, Kenya,128.2333333,0
1993,Ndeti Cosmas, Kenya,129.55,0
1994,Ndeti Cosmas, Kenya,127.25,0
1995,Ndeti Cosmas, Kenya,129.3666667,0
1996,Tanui Moses, Kenya,129.25,0
1997,Aguta Lamec, Kenya,130.5666667,0
1998,Tanui Moses, Kenya,127.5666667,0
1999,Joseph Chebet, Kenya,129.8666667,0
2000,Lagat Elijah, Kenya,129.7833333,0
2001,Lee Bong-Ju, South Korea,129.7166667,0
2002,Rop Rodgers, Kenya,129.0333333,0
2003,Cheruiyot Robert Cheruiyot, Kenya,130.1833333,0
2004,Cherigat Timothy, Kenya,130.6166667,0
2005,Negussie Hailu, Ethiopia,131.7333333,0
2006,Cheruiyot Robert Kipkoech, Kenya,127.2333333,0
2007,Cheruiyot Robert Kipkoech, Kenya,134.2166667,0
2008,Cheruiyot Robert Kipkoech, Kenya,127.75,0
2009,Merga Deriba, Ethiopia,128.7,0
2010,Cheruiyot Robert Kiprono, Kenya,125.8666667,0
2011,Mutai Geoffrey, Kenya,123.0333333,0
2012,Korir Wesley, Kenya,132.6666667,0
2013,Desisa Benti Lelisa, Ethiopia,130.3666667,0
2014,Meb Keflezighi, United States (CA),128.6166667,0
2015,Desisa Benti Lelisa, Ethiopia,129.2833333,0
2016,Lemi Berhanu Hayle, Ethiopia,132.75,0
2017,Geoffrey Kirui, Kenya,129.6166667,0
1966,Gibb Roberta, United States United States (MA),201.6666667,1
1967,Gibb Roberta, United States United States (CA),207.2833333,1
1968,Gibb Roberta, United States United States (CA),210,1
1969,Berman Sara Mae, United States United States (MA),202.7666667,1
1970,Berman Sara Mae, United States United States (MA),185.1166667,1
1971,Berman Sara Mae, United States United States (MA),188.5,1
1972,Kuscsik Nina, United States United States (NY),190.4333333,1
1973,Hansen Jacqueline, United States United States (CA),185.9833333,1
1974,Gorman Miki, United States United States (CA),167.1833333,1
1975,Winter Liane, West Germany,162.4,1
1976,Merritt Kim, United States United States (WI),167.1666667,1
1977,Gorman Miki, United States United States (CA),168.55,1
1978,Barron Gayle, United States United States (GA),164.8666667,1
1979,Benoit Joan, United States United States (ME),155.25,1
1980,Gareau Jacqueline, Canada,154.4666667,1
1981,Roe Allison, New Zealand,146.7666667,1
1982,Teske Charlotte, West Germany,149.55,1
1983,Benoit Joan, United States United States (ME),142.7166667,1
1984,Moller Lorraine, New Zealand,149.4666667,1
1985,Weidenbach Lisa, United States United States (MI),154.1,1
1986,Kristiansen Ingrid, Norway,144.9166667,1
1987,Mota RosaRosa Mota, Portugal,145.35,1
1988,Mota RosaRosa Mota, Portugal,144.5,1
1989,Kristiansen Ingrid, Norway,144.55,1
1990,Mota Rosa, Portugal,145.4,1
1991,Panfil Wanda, Poland,144.3,1
1992,Markova Olga, Russia,143.7166667,1
1993,Markova Olga, Russia,145.45,1
1994,Pippig Uta, Germany,141.75,1
1995,Pippig Uta, Germany,145.1833333,1
1996,Pippig Uta, Germany,147.2,1
1997,Roba Fatuma, Ethiopia,146.3833333,1
1998,Roba Fatuma, Ethiopia,143.35,1
1999,Roba Fatuma, Ethiopia,143.4166667,1
2000,Ndereba Catherine, Kenya,146.1833333,1
2001,Ndereba Catherine, Kenya,143.8833333,1
2002,Okayo Margaret, Kenya,140.7166667,1
2003,Zakharova Svetlana, Russia,145.3166667,1
2004,Ndereba Catherine, Kenya,144.45,1
2005,Ndereba Catherine, Kenya,145.2,1
2006,Jeptoo Rita, Kenya,143.6333333,1
2007,Grigoryeva Lidiya, Russia,149.3,1
2008,Tune Dire, Ethiopia,145.4166667,1
2009,Kosgei Salina, Kenya,152.2666667,1
2010,Erkesso Teyba, Ethiopia,146.1833333,1
2011,Kilel Caroline, Kenya,142.6,1
2012,Cherop Sharon, Kenya,151.8333333,1
2013,Jeptoo Rita, Kenya,146.4166667,1
2014,Jeptoo Rita, Kenya,138.95,1
2014,Deba Bizunesh, Ethiopia,139.9833333,1
2015,Rotich Caroline, Kenya,144.9166667,1
2016,Baysa Atsede, Ethiopia,149.3166667,1
2017,Kiplagat Edna, Kenya,141.8666667,1
