year,time
1967,176.973564068
1968,176.091447075
1969,175.209330082
1970,174.327213089
1971,173.445096096
1972,172.562979103
1973,171.68086211
1974,170.798745117
1975,169.916628124
1976,169.034511132
1977,168.152394139
1978,167.270277146
1979,166.388160153
1980,165.50604316
1981,164.623926167
1982,163.741809174
1983,162.859692181
1984,161.977575188
1985,161.095458195
1986,160.213341203
1987,159.33122421
1988,158.449107217
1989,157.566990224
1990,156.684873231
1991,155.802756238
1992,154.920639245
1993,154.038522252
1994,153.156405259
1995,152.274288266
1996,151.392171273
1997,150.510054281
1998,149.627937288
1999,148.745820295
2000,147.863703302
2001,146.981586309
2002,146.099469316
2003,145.217352323
2004,144.33523533
2005,143.453118337
2006,142.571001344
2007,141.688884351
2008,140.806767359
2009,139.924650366
2010,139.042533373
2011,138.16041638
2012,137.278299387
2013,136.396182394
2014,135.514065401
2014,135.514065401
2015,134.631948408
2016,133.749831415
2017,132.867714422
